FREQ,INDICATOR,REF_AREA,UNIT,TIME_PERIOD,value
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1990,278424.375726354
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1991,279872.363891333
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1992,284912.12433001
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1993,289234.856483038
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1994,294014.610394374
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1995,305409.799300553
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1996,312361.209994883
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1997,320794.696404265
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1998,334684.106535041
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,1999,344063.336207
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2000,350194.581777693
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2001,357668.742790314
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2002,362209.093829325
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2003,369725.552790947
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2004,383204.650915682
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2005,386514.916662142
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2006,392681.873174982
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2007,400415.409416881
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2008,405048.53717719
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2009,408344.934977177
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2010,406425.942052995
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2011,404263.695076992
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2012,406986.984923997
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2013,398051.591105236
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2014,393288.531798422
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2015,402537.564873241
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2016,413157.391667875
A,EN_ATM_CO2E_XLULUCF,AUS,Gg_CO2,2017,417041.277910766
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1990,62322.640684699
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1991,65931.4727198364
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1992,60441.6032070013
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1993,60806.1324938719
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1994,61199.3463965323
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1995,64268.2158523669
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1996,67693.6389075961
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1997,67463.6275623659
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1998,67066.6527603813
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,1999,65737.0307819665
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2000,66312.8424924796
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2001,70274.6845414013
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2002,72124.0062436435
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2003,77799.0973792539
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2004,77920.8336346621
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2005,79394.8503275095
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2006,77061.0351287342
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2007,74468.9596356077
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2008,73727.000030091
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2009,67723.7824404299
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2010,72228.2930742589
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2011,70142.5597188225
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2012,67577.1339873951
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2013,68161.1797721496
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2014,64467.3682319862
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2015,66732.8619529379
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2016,67314.8784011061
A,EN_ATM_CO2E_XLULUCF,AUT,Gg_CO2,2017,69978.846913737
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1990,120481.838502985
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1991,123543.2180581
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1992,122655.91005617
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1993,121555.27197814
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1994,124938.749065287
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1995,126080.410852888
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1996,129579.1540335
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1997,124042.51953785
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1998,130281.497383422
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,1999,124702.99064172
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2000,126769.130391395
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2001,126119.618177144
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2002,126304.979684259
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2003,127806.431199691
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2004,128830.183314369
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2005,125519.712600874
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2006,123832.913776969
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2007,120444.865803485
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2008,120352.128477469
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2009,107699.337103253
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2010,113814.067664193
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2011,104319.177679598
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2012,101514.570230812
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2013,101578.965845189
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2014,95906.4772109974
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2015,99753.2951581061
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2016,98421.540453143
A,EN_ATM_CO2E_XLULUCF,BEL,Gg_CO2,2017,97563.5674938616
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1990,76541.762497576
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1991,61125.8580396944
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1992,56917.8210195607
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1993,57561.518968325
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1994,55958.1450106709
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1995,57572.6317073105
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1996,57971.9918446665
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1997,55590.1948889333
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1998,53175.7554096749
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,1999,46278.8847916629
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2000,45211.2121156324
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2001,48923.1129875795
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2002,46167.1347580046
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2003,50415.5179811062
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2004,49507.2305694322
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2005,50591.1162433289
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2006,51825.6038475993
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2007,55637.291644336
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2008,53973.9256659693
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2009,45706.3647752967
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2010,47794.3098456763
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2011,53118.3113063042
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2012,48268.9568476768
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2013,42565.6172235958
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2014,45090.1978914722
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2015,48094.7505016991
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2016,45257.9306287606
A,EN_ATM_CO2E_XLULUCF,BGR,Gg_CO2,2017,47401.6336208296
A,EN_ATM_CO2E_XLULUCF,BLR,Gg_CO2,1990,104138.513112564
A,EN_ATM_CO2E_XLULUCF,BLR,Gg_CO2,1991,97043.6453025938
A,EN_ATM_CO2E_XLULUCF,BLR,Gg_CO2,1992,89993.7275459498
A,EN_ATM_CO2E_XLULUCF,BLR,Gg_CO2,1993,77618.72443439
A,EN_ATM_CO2E_XLULUCF,BLR,Gg_CO2,1994,64375.2495341916
